"ADCY3-205","ADCY3"
"ADCY3-213","ADCY3"
"ADD1-201","ADD1"
"ADD1-204","ADD1"
"ADD1-206","ADD1"
"ADD1-210","ADD1"
"ADD1-217","ADD1"
"ADD1-229","ADD1"
"ADD3-202","ADD3"
"ADGRE5-201","ADGRE5"
"ADGRE5-202","ADGRE5"
"ADGRE5-203","ADGRE5"
"ADH5-201","ADH5"
"ADI1-201","ADI1"
"ADK-202","ADK"
"ADK-205","ADK"
"ADK-209","ADK"
"ADK-212","ADK"
"ADNP-201","ADNP"
"ADNP-209","ADNP"
"ADO-201","ADO"
"ADPGK-201","ADPGK"
"ADPRS-201","ADPRS"
"ADRM1-201","ADRM1"
"ADSL-201","ADSL"
"ADSL-208","ADSL"
"ADSL-220","ADSL"
"ADSL-222","ADSL"
"ADSS2-201","ADSS2"
"AEBP1-201","AEBP1"
"AEBP1-206","AEBP1"
"AEBP2-201","AEBP2"
"AEBP2-202","AEBP2"
"AEBP2-204","AEBP2"
"AEBP2-206","AEBP2"
"AEBP2-207","AEBP2"
"AEBP2-208","AEBP2"
"AEBP2-209","AEBP2"
"AF241726.2-201","AF241726.2"
"AFG3L2-201","AFG3L2"
"AFTPH-201","AFTPH"
"AFTPH-202","AFTPH"
"AGA-201","AGA"
"AGAP2-201","AGAP2"
"AGFG1-201","AGFG1"
"AGFG1-202","AGFG1"
"AGFG1-203","AGFG1"
"AGFG1-205","AGFG1"
"AGK-202","AGK"
"AGK-213","AGK"
"AGL-201","AGL"
"AGL-204","AGL"
"AGO1-201","AGO1"
"AGO1-202","AGO1"
"AGO1-205","AGO1"
"AGO2-201","AGO2"
"AGO3-201","AGO3"
"AGO3-203","AGO3"
"AGO4-201","AGO4"
"AGPAT5-201","AGPAT5"
"AGPS-201","AGPS"
"AGTPBP1-201","AGTPBP1"
"AGTPBP1-202","AGTPBP1"
"AGTRAP-201","AGTRAP"
"AHCTF1-201","AHCTF1"
"AHCTF1-202","AHCTF1"
"AHCTF1-207","AHCTF1"
"AHCY-201","AHCY"
"AHCYL1-202","AHCYL1"
"AHNAK-202","AHNAK"
"AHSA1-201","AHSA1"
"AHSG-202","AHSG"
"AIDA-201","AIDA"
"AIFM1-201","AIFM1"
"AIFM1-210","AIFM1"
"AIFM1-219","AIFM1"
"AIFM1-220","AIFM1"
"AIFM1-221","AIFM1"
"AIFM1-223","AIFM1"
"AIFM1-226","AIFM1"
"AIFM1-231","AIFM1"
"AIMP1-201","AIMP1"
"AIMP2-201","AIMP2"
"AIP-201","AIP"
"AK2-202","AK2"
"AK2-204","AK2"
"AK2-217","AK2"
"AK3-202","AK3"
"AK3-203","AK3"
"AKAP1-202","AKAP1"
"AKAP10-201","AKAP10"
"AKAP10-202","AKAP10"
"AKAP11-201","AKAP11"
"AKAP13-201","AKAP13"
"AKAP13-202","AKAP13"
"AKAP13-203","AKAP13"
"AKAP13-221","AKAP13"
"AKAP13-222","AKAP13"
"AKAP17A-201","AKAP17A"
"AKAP8-201","AKAP8"
"AKAP8L-201","AKAP8L"
"AKAP9-201","AKAP9"
"AKAP9-202","AKAP9"
"AKAP9-203","AKAP9"
"AKR1A1-201","AKR1A1"
"AKR1B1-201","AKR1B1"
"AKR7A2-201","AKR7A2"
"AKT1-201","AKT1"
"AKT1S1-201","AKT1S1"
"AKT1S1-207","AKT1S1"
"AKT2-206","AKT2"
"AKT2-232","AKT2"
"AKT2-234","AKT2"
"AL021546.1-201","AL021546.1"
"AL031681.3-201","AL031681.3"
"AL031777.2-201","AL031777.2"
"AL034430.2-201","AL034430.2"
"AL049629.2-201","AL049629.2"
"AL121594.1-201","AL121594.1"
"AL121845.3-202","AL121845.3"
"AL133500.1-202","AL133500.1"
"AL136295.1-201","AL136295.1"
"AL139260.3-204","AL139260.3"
"AL139300.1-201","AL139300.1"
"AL162231.3-201","AL162231.3"
"AL355385.2-201","AL355385.2"
"AL358113.1-202","AL358113.1"
"AL358113.1-204","AL358113.1"
"AL358113.1-207","AL358113.1"
"AL365214.2-204","AL365214.2"
"AL590764.2-202","AL590764.2"
"AL590764.2-203","AL590764.2"
"AL590764.2-204","AL590764.2"
"AL590764.2-207","AL590764.2"
"AL928654.3-201","AL928654.3"
"AL928654.3-203","AL928654.3"
"AL928654.3-204","AL928654.3"
"ALAD-201","ALAD"
"ALB-201","ALB"
"ALB-214","ALB"
"ALDH16A1-201","ALDH16A1"
"ALDH16A1-202","ALDH16A1"
"ALDH16A1-203","ALDH16A1"
"ALDH18A1-201","ALDH18A1"
"ALDH18A1-202","ALDH18A1"
"ALDH1A3-203","ALDH1A3"
"ALDH4A1-201","ALDH4A1"
"ALDH4A1-205","ALDH4A1"
"ALDH4A1-206","ALDH4A1"
"ALDH5A1-201","ALDH5A1"
"ALDH5A1-202","ALDH5A1"
"ALDH5A1-204","ALDH5A1"
"ALDH6A1-201","ALDH6A1"
"ALDH6A1-202","ALDH6A1"
"ALDH9A1-201","ALDH9A1"
"ALDOA-202","ALDOA"
"ALDOC-201","ALDOC"
"ALG10-201","ALG10"
"ALG10-202","ALG10"
"ALG10-204","ALG10"
"ALG10B-201","ALG10B"
"ALG10B-202","ALG10B"
"ALG10B-203","ALG10B"
"ALG12-201","ALG12"
"ALG13-202","ALG13"
"ALG13-203","ALG13"
"ALG13-211","ALG13"
"ALG13-216","ALG13"
"ALG13-218","ALG13"
"ALG13-226","ALG13"
"ALG13-231","ALG13"
"ALG13-235","ALG13"
"ALG13-239","ALG13"
"ALG2-203","ALG2"
"ALG5-201","ALG5"
"ALG5-202","ALG5"
"ALG6-201","ALG6"
"ALKBH2-201","ALKBH2"
"ALKBH2-203","ALKBH2"
"ALKBH2-204","ALKBH2"
"ALKBH2-205","ALKBH2"
"ALKBH2-207","ALKBH2"
"ALKBH5-201","ALKBH5"
"ALMS1-204","ALMS1"
"ALMS1-206","ALMS1"
"ALMS1-207","ALMS1"
"ALMS1-212","ALMS1"
"ALOX5AP-201","ALOX5AP"
"ALOX5AP-203","ALOX5AP"
"ALPK3-201","ALPK3"
"ALYREF-202","ALYREF"
"AMDHD2-201","AMDHD2"
"AMDHD2-202","AMDHD2"
"AMDHD2-203","AMDHD2"
"AMDHD2-212","AMDHD2"
"AMDHD2-217","AMDHD2"
"AMDHD2-219","AMDHD2"
"AMER2-201","AMER2"
"AMER2-202","AMER2"
"AMFR-201","AMFR"
"AMFR-202","AMFR"
"AMMECR1-201","AMMECR1"
"AMMECR1-202","AMMECR1"
"AMPD2-201","AMPD2"
"AMPD2-202","AMPD2"
"AMPD2-204","AMPD2"
"AMPD2-231","AMPD2"
"AMPD3-202","AMPD3"
"AMPD3-203","AMPD3"
"AMPD3-204","AMPD3"
"AMPD3-208","AMPD3"
"ANAPC1-201","ANAPC1"
"ANAPC10-201","ANAPC10"
"ANAPC10-206","ANAPC10"
"ANAPC10-213","ANAPC10"
"ANAPC10-214","ANAPC10"
"ANAPC10-218","ANAPC10"
"ANAPC13-201","ANAPC13"
"ANAPC16-201","ANAPC16"
"ANAPC2-201","ANAPC2"
"ANAPC4-201","ANAPC4"
"ANAPC4-210","ANAPC4"
"ANAPC5-201","ANAPC5"
"ANAPC5-204","ANAPC5"
"ANAPC5-218","ANAPC5"
"ANAPC7-201","ANAPC7"
"ANAPC7-203","ANAPC7"
"ANGPT2-201","ANGPT2"
"ANGPT2-202","ANGPT2"
"ANGPT2-203","ANGPT2"
"ANGPT2-204","ANGPT2"
"ANKFY1-201","ANKFY1"
"ANKFY1-202","ANKFY1"
"ANKFY1-209","ANKFY1"
"ANKHD1-203","ANKHD1"
"ANKHD1-EIF4EBP3-203","ANKHD1"
"ANKIB1-201","ANKIB1"
"ANKIB1-204","ANKIB1"
"ANKLE2-201","ANKLE2"
"ANKMY2-201","ANKMY2"
"ANKRD13A-201","ANKRD13A"
"ANKRD17-202","ANKRD17"
"ANKRD17-203","ANKRD17"
"ANKRD17-207","ANKRD17"
"ANKRD26-201","ANKRD26"
"ANKRD26-202","ANKRD26"
"ANKRD26-209","ANKRD26"
"ANKRD27-201","ANKRD27"
"ANKRD28-201","ANKRD28"
"ANKRD36-201","ANKRD36"
"ANKRD44-201","ANKRD44"
"ANKRD44-202","ANKRD44"
"ANKRD44-203","ANKRD44"
"ANKRD44-206","ANKRD44"
"ANKRD44-213","ANKRD44"
"ANKRD49-201","ANKRD49"
"ANKRD50-201","ANKRD50"
"ANKRD50-202","ANKRD50"
"ANKRD52-201","ANKRD52"
"ANKRD54-201","ANKRD54"
"ANKRD54-208","ANKRD54"
"ANKS1A-201","ANKS1A"
"ANKS1A-203","ANKS1A"
"ANKS1A-204","ANKS1A"
"ANKS1B-201","ANKS1B"
"ANKS1B-211","ANKS1B"
"ANKS1B-218","ANKS1B"
"ANLN-201","ANLN"
"ANLN-202","ANLN"
"ANO6-201","ANO6"
"ANO6-202","ANO6"
"ANO6-203","ANO6"
"ANO6-205","ANO6"
"ANP32A-203","ANP32A"
"ANP32A-210","ANP32A"
"ANP32B-201","ANP32B"
"ANP32E-204","ANP32E"
"ANP32E-208","ANP32E"
"ANXA1-201","ANXA1"
"ANXA11-201","ANXA11"
"ANXA11-202","ANXA11"
"ANXA2-201","ANXA2"
"ANXA2-202","ANXA2"
"ANXA3-201","ANXA3"
"ANXA3-202","ANXA3"
"ANXA3-205","ANXA3"
"ANXA3-210","ANXA3"
"ANXA4-201","ANXA4"
"ANXA4-202","ANXA4"
"ANXA5-201","ANXA5"
"ANXA5-202","ANXA5"
"ANXA6-201","ANXA6"
"ANXA6-211","ANXA6"
"ANXA7-201","ANXA7"
"ANXA7-202","ANXA7"
"AP000356.5-201","AP000356.5"
"AP000721.1-201","AP000721.1"
"AP001267.5-201","AP001267.5"
"AP001273.2-201","AP001273.2"
"AP002748.5-201","AP002748.5"
"AP1B1-202","AP1B1"
"AP1B1-203","AP1B1"
"AP1G1-201","AP1G1"
"AP1G1-202","AP1G1"
"AP1G2-201","AP1G2"
"AP1M1-201","AP1M1"
"AP1M1-203","AP1M1"
"AP1M1-211","AP1M1"
"AP1S1-201","AP1S1"
"AP1S1-202","AP1S1"
"AP1S1-205","AP1S1"
"AP1S2-201","AP1S2"
"AP1S3-201","AP1S3"
"AP1S3-202","AP1S3"
"AP1S3-203","AP1S3"
"AP1S3-204","AP1S3"
"AP1S3-205","AP1S3"
"AP1S3-206","AP1S3"
"AP1S3-208","AP1S3"
"AP2A1-201","AP2A1"
"AP2A1-202","AP2A1"
"AP2A2-201","AP2A2"
"AP2A2-202","AP2A2"
"AP2B1-211","AP2B1"
"AP2B1-221","AP2B1"
"AP2M1-201","AP2M1"
"AP2M1-202","AP2M1"
"AP2M1-222","AP2M1"
"AP2S1-201","AP2S1"
"AP2S1-207","AP2S1"
"AP2S1-209","AP2S1"
"AP3B1-201","AP3B1"
"AP3B1-204","AP3B1"
"AP3D1-201","AP3D1"
"AP3D1-213","AP3D1"
"AP3M1-201","AP3M1"
"AP4E1-201","AP4E1"
"AP4E1-203","AP4E1"
"AP4S1-204","AP4S1"
"AP5S1-201","AP5S1"
"APBA2-202","APBA2"
"APBA2-204","APBA2"
"APBA2-206","APBA2"
"APBB1IP-202","APBB1IP"
"APC2-201","APC2"
"APEH-201","APEH"
"APEH-202","APEH"
"APEX1-201","APEX1"
"API5-210","API5"
"APIP-201","APIP"
"APMAP-201","APMAP"
"APMAP-202","APMAP"
"APOBR-201","APOBR"
"APOBR-202","APOBR"
"APOL2-201","APOL2"
"APOL2-203","APOL2"
"APOO-201","APOO"
"APOO-202","APOO"
"APOOL-201","APOOL"
"APOOL-202","APOOL"
"APOOL-203","APOOL"
"APPL1-201","APPL1"
